OBJECTID,Moose density 2016,Moose density 2017,Elk density 2016,Elk density 2017,Moose catchability 2016,Moose catchability+density 2016,Moose catchability 2017,Moose catchability+density 2017,Elk catchability 2016,Elk catchability+density 2016,Elk catchability 2017,Elk catchability+density 2017
53,0,0,0,0,0.0092528,0.0196864,0.0048291,0.0050059,0.0014995,0.0005836,0.0006752,0.0005998
54,6.25,0,0,0,0.0085598,0.012849,0.0042833,0.0062088,0.0029915,0.0008572,0.0009529,0.0007733
55,0,0,0,0,0.0106312,0.0165017,0.007007,0.0045049,0.002342,0.0037966,0.0026501,0.0025294
56,0,0,0,0,0.0085333,0.0141811,0.0066067,0.0042835,0.0032684,0.0048144,0.0025032,0.0024856
57,0,0,0,0,0.008871,0.0142316,0.0071691,0.0052734,0.0029529,0.0047478,0.0025694,0.0026239
58,0,0,0,0,0.0066208,0.0070495,0.0086496,0.012286,0.0107691,0.0302449,0.0072661,0.0093236
59,0,0,0,0,0.0094838,0.019639,0.0058606,0.0038539,0.0013957,0.002109,0.0012071,0.0014113
60,0,0,0,0,0.0093979,0.0205611,0.0053159,0.004598,0.0027516,0.0043732,0.0018445,0.0024331
61,0,0,0,0,0.0109713,0.0210187,0.0055324,0.0061505,0.0029945,0.004845,0.002543,0.0037562
62,0,0,0,0,0.0095922,0.0238033,0.0069864,0.0050315,0.002975,0.00654,0.0026352,0.0035532
63,0,0,0,0,0.0057339,0.006129,0.0109702,0.0141803,0.0155622,0.0299352,0.0103977,0.0108919
64,6.25,6.25,0,0,0.0108953,0.0168252,0.0071196,0.0070469,0.0043712,0.0048103,0.0038796,0.0044341
65,0,0,0,0,0.0132215,0.0355234,0.0089115,0.0020573,0.0009284,0.0004819,0.0012694,0.0009556
66,0,0,18.75,0,0.0145148,0.0188261,0.0080304,0.0048844,0.0045615,0,0.0057416,0.0061969
67,0,2.0833299,0,10.4167004,0.0138801,0.0229661,0.0073692,0.0044053,0.001216,0.0014509,0.001936,0
68,0,0,0,0,0.0118912,0.0189307,0.0068793,0.0039359,0.0012415,0.0020663,0.0017682,0.0021636
69,2.0833299,4.1666698,0,0,0.0114505,0.0188315,0.0068932,0.0038093,0.0007374,0.0014803,0.0011504,0.0013578
70,0,0,0,0,0.014266,0.054445,0.0056215,0.0019208,0.0003289,0.0005821,0.0004656,0.0006014
71,2.0833299,2.0833299,0,0,0.0370895,0.136891,0.0035671,0.0058725,0.0003311,0.0004618,0.0006663,0.0019886
72,6.25,6.25,0,0,0.0100036,0.0143076,0.0048944,0.0084123,0.0027719,0.0028592,0.0015541,0.0019487
73,0,0,0,0,0.0099172,0.0208306,0.0058157,0.0042719,0.0030931,0.0045771,0.0021397,0.0022167
74,0,0,0,0,0.0063663,0.0061595,0.0091014,0.0130946,0.0142386,0.040849,0.0090956,0.010385
75,4.1666698,4.1666698,0,0,0.0099652,0.0139416,0.0057812,0.006953,0.003173,0.0045133,0.0023305,0.0027667
76,0,8.3333302,0,0,0.0099262,0.0207166,0.0058517,0.0079475,0.0025957,0.0041957,0.0018806,0.0024808
77,0,0,0,0,0.0109827,0.0211348,0.0055823,0.0057051,0.0018826,0.0028743,0.0015487,0.0021961
78,0,4.1666698,0,0,0.0084166,0.0165056,0.0057293,0.0078256,0.0054077,0.0104613,0.0029901,0.0042773
79,2.0833299,6.25,0,0,0.0113897,0.0210399,0.0050385,0.0059849,0.002371,0.0034592,0.0019737,0.0027531
80,0,0,0,0,0.0111924,0.0260686,0.0054612,0.0040657,0.0026652,0.0039645,0.0021978,0.0029365
81,0,0,0,0,0.0087465,0.014614,0.0072944,0.0055609,0.0048796,0.0075601,0.0039145,0.0045051
82,0,0,0,0,0.0091458,0.0213124,0.0070984,0.0044069,0.0053551,0.0075277,0.0036317,0.0042706
83,0,0,0,0,0.0087244,0.024992,0.00788,0.0025076,0.002133,0.0014738,0.0014559,0.0011849
84,0,0,4.1666698,4.1666698,0.0172227,0.0177165,0.008818,0.0035716,0.0056199,0,0.0078197,0
85,2.0833299,2.0833299,0,0,0.0133545,0.0156896,0.0062959,0.0052255,0.0029971,0.0028391,0.0033776,0.0041364
86,0,0,0,0,0.0080005,0.0073896,0.0089002,0.0098309,0.0068357,0.0146255,0.0063507,0.0081824
87,0,0,0,0,0.010143,0.0243829,0.0048188,0.0028474,0.0008341,0.0002411,0.0004673,0.0003825
88,12.5,2.0833299,0,0,0.0163202,0.0223123,0.0053162,0.0029139,0.0003649,0.0007021,0.0006548,0.0010025
89,0,0,0,0,0.0133756,0.030386,0.0056571,0.0039098,0.0008389,0.0021754,0.001142,0.0018427
90,4.1666698,4.1666698,0,0,0.0108232,0.0217767,0.0053825,0.0034348,0.0007116,0.001255,0.0007184,0.0008655
91,4.1666698,0,0,0,0.0076118,0.0107094,0.0074806,0.0046727,0.0031717,0.0043228,0.0020298,0.0014636
92,0,0,0,0,0.0066227,0.0141041,0.0090205,0.0062479,0.0155427,0.0066525,0.0095449,0.0029811
93,0,0,0,0,0.0115577,0.0180072,0.005892,0.0062001,0.0029367,0.0074288,0.0025881,0.0039079
94,0,0,0,0,0.007148,0.010091,0.0075622,0.0163354,0.0206326,0.0270189,0.0079621,0.0127278
95,0,0,0,0,0.0140076,0.0269953,0.0051829,0.0076818,0.0038762,0.0071866,0.0022678,0.0035917
96,0,0,0,0,0.0103283,0.0332556,0.0047355,0.0038626,0.0035867,0.0061529,0.0015984,0.0023486
97,2.0833299,0,0,0,0.0126611,0.0251983,0.0047172,0.0032812,0.0015823,0.002439,0.0015023,0.0020995
98,0,0,0,0,0.0123018,0.0255309,0.005186,0.0033212,0.0018564,0.0025676,0.0018172,0.0023689
99,0,0,0,6.25,0.0088357,0.0181839,0.0070134,0.003401,0.0037612,0.0053291,0.0026846,0
100,0,0,0,0,0.0101818,0.0053634,0.0089278,0.0096294,0.0043681,0.0212245,0.0045182,0.0151
101,0,0,0,0,0.0080254,0.0051806,0.0115651,0.0097018,0.0135145,0.0170215,0.0137139,0.0131102
102,2.0833299,2.0833299,0,0,0.0128687,0.0172631,0.0068746,0.0036414,0.0044142,0.0027883,0.0040093,0.0041848
103,0,0,0,0,0.0091413,0.0159915,0.0097736,0.0037798,0.005471,0.0029093,0.0080902,0.0033326
104,0,0,0,0,0.0142356,0.0325707,0.0064721,0.002067,0.000456,0.0006404,0.0008984,0.0009487
105,2.0833299,2.0833299,0,0,0.0144782,0.0098215,0.0055679,0.0113586,0.0011193,0.0117151,0.0016109,0.0090697
106,2.0833299,2.0833299,0,0,0.015023,0.0249776,0.0046976,0.0054923,0.0014558,0.002693,0.0017691,0.0031443
107,4.1666698,4.1666698,0,0,0.0097093,0.0161056,0.0053264,0.005432,0.0021492,0.0029181,0.0016369,0.0020027
108,0,0,0,0,0.0094235,0.0075595,0.005696,0.0085837,0.0012258,0.0142911,0.0011486,0.0047508
109,0,0,0,0,0.0047314,0.0060829,0.0110931,0.0129946,0.035845,0.0495658,0.0111664,0.0080272
110,0,0,0,0,0.0075133,0.0112447,0.0064124,0.0064201,0.0052361,0.0012075,0.0018867,0.001049
111,0,0,0,0,0.0079986,0.0117841,0.0058913,0.0059948,0.0038982,0.0009451,0.0015396,0.001003
112,0,0,0,0,0.0129938,0.0114241,0.006705,0.0276749,0.0151971,0.0231442,0.0121863,0.0235896
113,0,0,0,0,0.0098409,0.0190472,0.0058339,0.0064084,0.0053052,0.0084606,0.0031488,0.0043356
