FID,Count,Year,Used,ConBog,MarshGrass,Mixedwood,Opendec,BTrail_D,Edge_D,Road_D,Trail_D,Water_D,Ruggedness,Stream_D
5031,0,2017,0,0.322148,0.100671,0,0,7.0100899,4.1108699,8.4781599,6.5943198,4.1108699,0,7.0417299
5032,0,2017,0,0.161074,0.389262,0.288591,0.033557,3.43399,3.43399,8.5342398,3.43399,6.1539502,10,4.5629802
5033,0,2017,0,0.0402685,0.147651,0.637584,0.107383,6.1758699,4.9064898,8.4956799,6.1114702,6.4864802,3,4.9064898
5034,0,2017,0,0.0805369,0.550336,0.0939597,0.134228,7.1618199,3.43399,8.6257496,6.70575,7.03444,3,0
5035,0,2017,0,0.181208,0.657718,0,0,7.3606,4.51086,8.56565,6.7979202,7.0669298,5,3.43399
5036,0,2017,0,0.0067114,0.181208,0.187919,0,7.9460301,4.51086,8.5858297,4.6928701,7.0451698,2,6.32621
5037,0,2017,0,0,0,0.134228,0,8.1730604,5.4357901,8.4611301,6.3404298,5.7810798,5,5.0367599
5038,0,2017,0,0,0,0,0,8.2309303,5.8301501,8.2692499,6.3362002,5.8923302,4,7.0523
5039,0,2017,0,0.369128,0.0604027,0.201342,0,7.82304,3.43399,8.1974001,5.1985002,6.6214099,8,6.7934198
5040,0,2017,0,0,0.0067114,0.0201342,0,7.5159602,5.1700802,8.3094301,5.1399398,7.3068399,2,5.6970401
5041,0,2017,0,0,0.0067114,0.33557,0,7.8491998,5.1985002,8.3861799,7.4782901,7.1830401,4,5.3814301
5042,0,2017,0,0,0,0.0067114,0,7.8467202,5.6970401,8.4815702,7.6156502,6.9302602,3,5.9059
5043,0,2017,0,0,0,0,0,8.4628201,5.6970401,8.6924896,8.4632196,5.9537301,9,6.7223401
5044,0,2017,0,0,0.268456,0.0402685,0,8.5057096,4.1108699,8.6484098,8.5338602,0,0,6.9554501
5045,0,2017,0,0,0,0.127517,0,8.7213297,5.4847999,8.7236004,8.7473898,6.1114702,4,7.0862002
5046,0,2017,0,0,0.248322,0.0268456,0,8.9296904,3.43399,8.5998802,8.9742002,5.0172801,1,5.3619099
5047,0,2017,0,0,0.261745,0.557047,0,8.9924002,4.45263,8.5363302,9.0270596,5.7071099,1,5.8021202
5048,0,2017,0,0,0.147651,0,0,9.1124001,3.43399,8.2604303,9.1578102,3.77107,0,5.0172801
5049,0,2017,0,0.033557,0.395973,0,0,9.3085203,0,7.5702701,9.3497801,6.59516,1,6.8913202
5050,0,2017,0,0,0.187919,0,0.0201342,9.40973,4.1108699,6.8927202,9.4489698,6.3145299,1,5.4847999
5051,0,2017,0,0.0067114,0.791946,0.100671,0,5.7680202,4.6928701,8.5081301,7.9150701,0,2,5.5434499
5052,0,2017,0,0,0.469799,0,0,6.9345498,0,8.5019398,7.349,4.2207098,2,7.30338
5053,0,2017,0,0,0.033557,0,0,7.1986299,5.0172801,8.54389,7.1182499,5.3814301,1,7.1642499
5054,0,2017,0,0,0.671141,0,0,6.7223401,3.43399,8.47223,5.8378801,5.5503201,1,6.70575
5055,0,2017,0,0.0134228,0.0134228,0.308725,0,6.08178,5.1399398,8.5049,4.2207098,5.3619099,3,6.3846798
5056,0,2017,0,0.161074,0,0.798658,0,5.5149899,5.9059,8.5430698,5.4847999,6.23809,5,6.0029202
5057,0,2017,0,0.0604027,0,0.939597,0,6.7345901,5.8378801,8.4875898,6.6989498,6.9302602,2,5.9537301
5058,0,2017,0,0.436242,0.342282,0.0536913,0.167785,6.8383298,3.43399,8.54916,6.8362598,7.2219901,1,4.6928701
5059,0,2017,0,0.0134228,0.261745,0.0469799,0.677852,6.5390801,0,8.6420002,6.5806398,7.3751302,1,0
5060,0,2017,0,0.0805369,0.0134228,0.456376,0.409396,6.2761798,5.2508898,8.61271,7.01302,7.26896,2,5.8021202
5061,0,2017,0,0.134228,0.355705,0.147651,0.342282,6.8684602,0,8.6567602,6.7737799,7.2354999,2,4.7957902
5062,0,2017,0,0,0.637584,0,0,7.6291299,3.43399,8.6237202,5.9687099,6.5390801,1,6.2097702
5063,0,2017,0,0.926175,0,0.0738255,0,7.7616901,5.5959301,8.54389,5.9537301,7.0560002,1,5.7361498
5064,0,2017,0,0.0268456,0,0.536913,0,8.0750799,5.6261301,8.5661697,5.6970401,7.1902599,6,5.3619099
5065,0,2017,0,0,0,0.228188,0,8.1836596,5.7680202,8.5135498,6.6455798,6.3846798,6,4.2207098
5066,0,2017,0,0,0,0,0,8.23106,5.6261301,8.3338099,6.5493398,5.8640299,6,6.5419002
5067,0,2017,0,0,0,0.0067114,0,8.1620502,5.7361498,8.27458,5.5434499,5.7853599,8,7.1863999
5068,0,2017,0,0,0,0.033557,0,8.1113901,5.6546102,8.2013397,5.6021199,5.7810798,4,7.0144701
5069,0,2017,0,0.0402685,0.0671141,0.248322,0,7.6403799,4.7957902,8.2769098,4.8542099,6.8035102,2,6.6531301
5070,0,2017,0,0,0.489933,0.107383,0,7.6686902,4.1108699,8.2299995,3.43399,7.1631699,3,5.8301501
5071,0,2017,0,0,0.134228,0,0,7.5928502,4.6928701,8.3540802,6.8230901,7.4762802,5,3.77107
5072,0,2017,0,0,0,0.0268456,0,7.7464499,6.2346401,8.35042,7.2279601,7.3863201,5,4.51086
5073,0,2017,0,0,0.261745,0.0469799,0,8.0394001,3.43399,8.5885801,7.9311399,5.4357901,1,5.8603802
5074,0,2017,0,0,0.590604,0.0268456,0,8.2519302,4.2207098,8.6651497,8.1859703,6.2363701,0,6.8257599
5075,0,2017,0,0,0,0,0,8.3755102,5.8923302,8.6845703,8.3750095,5.9687099,8,6.3808098
5076,0,2017,0,0.0268456,0.154362,0.0067114,0,8.6024504,4.5629802,8.7104101,8.6172104,5.2508898,2,7.0417299
5077,0,2017,0,0,0,0.0604027,0,8.6327,5.7361498,8.64925,8.6750498,6.44731,2,7.2205501
5078,0,2017,0,0,0.355705,0.228188,0,8.7699203,0,8.7051802,8.8113699,5.0172801,2,7.08145
5079,0,2017,0,0,0.0604027,0,0,8.8402205,5.0172801,8.7390499,8.87605,5.8640299,1,6.64329
5080,0,2017,0,0,0.0134228,0.0201342,0,8.8769598,5.2508898,8.6674805,8.9226704,5.7810798,1,6.3910499
5081,0,2017,0,0,0.147651,0.033557,0,9.0276899,0,8.4430199,9.0693197,0,0,6.3070898
5082,0,2017,0,0,0,0.0134228,0.114094,9.0798302,5.0172801,8.3655195,9.1155195,5.0172801,2,5.4847999
5083,0,2017,0,0,0.463087,0,0.107383,9.1526299,3.43399,8.1414099,9.1967602,5.5570998,1,6.3637099
5084,0,2017,0,0,0.0268456,0.0469799,0,9.1981401,4.1108699,8.0463696,9.2372904,6.1519098,3,6.6409898
5085,0,2017,0,0,0.0604027,0.0134228,0,9.3419104,4.6928701,7.31707,9.3821697,6.19311,1,6.4518099
5086,0,2017,0,0,0.322148,0,0.033557,9.37924,4.1108699,7.1547298,9.4182396,5.2631798,2,5.1700802
5087,0,2017,0,0,0.66443,0,0.0201342,6.0650301,3.77107,8.7552004,9.2636099,5.1399398,2,6.2516699
5088,0,2017,0,0.255034,0.409396,0,0.134228,5.0172801,3.43399,8.7491903,9.2499599,5.0172801,3,6.1136799
5089,0,2017,0,0,0.0738255,0.0671141,0.0671141,6.20612,4.8542099,8.7485704,9.2177401,5.1399398,5,5.1700802
5090,0,2017,0,0,0,0.0469799,0.248322,5.7071099,5.9716501,8.7512302,9.1642504,6.77496,5,5.8183298
5091,0,2017,0,0,0.147651,0.0604027,0.295302,5.7266598,3.43399,8.8017197,9.14254,5.7853599,1,6.1539502
5092,0,2017,0,0,0.033557,0,0,6.2097702,4.8542099,8.8247299,9.1323795,5.7680202,1,6.5390801
5093,0,2017,0,0.0067114,0,0.0134228,0,6.55302,5.4925199,8.8458595,9.1205902,5.8923302,1,6.9078002
5094,0,2017,0,0.0067114,0.308725,0.033557,0.328859,7.0184598,3.43399,8.86518,9.1122799,5.6490402,1,7.3950601
5095,0,2017,0,0,0.798658,0,0.0604027,6.8561301,4.1108699,8.87533,9.11133,5.4925199,1,7.1182499
5096,0,2017,0,0,0.167785,0,0.033557,6.6493702,4.1108699,8.8985004,9.1051903,4.9064898,1,6.1136799
5097,0,2017,0,0,0,0.0134228,0.604027,5.9025402,5.8640299,8.8648996,9.1509705,6.6245899,2,4.6928701
5098,0,2017,0,0,0.516779,0,0.228188,4.9064898,3.43399,8.9317102,9.0413103,5.98037,3,4.5629802
5099,0,2017,0,0,0.0402685,0,0.0067114,5.3619099,5.0172801,8.91471,9.0309095,5.8923302,1,5.4608898
5100,0,2017,0,0,0.469799,0,0.100671,6.4109201,3.43399,8.9804802,8.9212303,4.6928701,2,5.0172801
5101,0,2017,0,0,0.33557,0,0,5.7266598,0,8.9383402,8.7636499,5.4608898,1,6.5493398
5102,0,2017,0,0,0.503356,0,0,3.77107,0,8.8769703,8.7601204,4.6928701,0,5.3619099
5103,0,2017,0,0,0.47651,0,0,6.5823698,3.77107,8.8477802,8.6443596,5.3909101,2,4.7957902
5104,0,2017,0,0.033557,0.033557,0.0671141,0,6.6765699,5.0172801,8.7857304,8.65734,5.4847999,2,5.7680202
5105,0,2017,0,0,0.127517,0.0201342,0,6.9237599,5.0367599,8.80124,8.5713902,5.3909101,1,6.4937501
5106,0,2017,0,0,0.33557,0,0,6.28722,3.77107,8.6866398,8.4587898,5.4925199,2,5.1399398
5107,0,2017,0,0,0.389262,0,0.167785,3.43399,3.43399,8.6040001,8.1718102,4.51086,0,6.5099902
5108,0,2017,0,0,0.127517,0.0268456,0,5.4925199,4.2207098,8.5713902,8.0548897,4.7957902,1,6.0650301
5109,0,2017,0,0.0738255,0,0.0671141,0.66443,4.51086,5.1700802,8.7751102,9.2235203,5.7266598,2,5.3909101
5110,0,2017,0,0,0,0.0067114,0.0536913,6.7720098,5.3094902,8.7737503,9.1580496,5.9537301,6,3.77107
5111,0,2017,0,0,0.281879,0.0469799,0,6.4906502,0,8.9560003,9.0346098,5.9476099,1,6.3846798
5112,0,2017,0,0.0067114,0.134228,0.0201342,0.167785,6.97826,4.2207098,8.9507704,9.0397701,5.8957601,0,6.77496
5113,0,2017,0,0,0.248322,0,0,7.0560002,4.45263,8.93472,9.0685997,5.8640299,3,6.7945499
5114,0,2017,0,0,0,0,1,6.4035602,5.4608898,8.9787598,9.0398197,5.8888798,1,5.3094902
5115,0,2017,0,0,0,0,0,5.0172801,5.4925199,8.99055,8.9540796,6.56389,1,6.3833899
5116,0,2017,0,0,0.201342,0,0.630872,5.7071099,3.43399,9.0550299,8.7750998,5.7500601,0,6.3885102
5117,0,2017,0,0,0.677852,0,0.0067114,6.55302,3.43399,8.9913301,8.7754498,5.2631798,0,6.7010002
5118,0,2017,0,0,0.228188,0,0,5.8021202,3.77107,8.9179096,8.6321402,6.1519098,1,6.4047999
5119,0,2017,0,0,0.187919,0,0,5.9537301,0,8.8430099,8.45473,5.2631798,1,6.78369
5120,0,2017,0,0,0.167785,0,0,5.8957601,4.2207098,8.7722597,8.5040102,5.6919298,2,5.8957601
