FID,Month,Year,Used,ConBog,MarshGrass,Mixedwood,Opendec,BTrail_D,Edge_D,Road_D,Stream_D,Trail_D,Water_D,Ruggedness,M_Density
43,0,2017,0,0,0.0201342,0,0,8.1200304,4.51086,0,5.1399398,8.3336,7.4664998,1,0
44,0,2017,0,0,0.0201342,0,0.0067114,8.23106,5.0172801,6.3985901,4.5629802,8.4488201,7.0629802,5,0
45,0,2017,0,0,0.308725,0.0067114,0,8.2238197,3.43399,7.09091,3.77107,8.5534801,6.43817,0,0
46,0,2017,0,0,0,0,0,8.0488596,5.7071099,7.4960999,6.0650301,8.6511002,5.9025402,1,0
47,0,2017,0,0,0.100671,0,0,7.8369198,4.51086,7.1986299,6.8155699,8.7415705,6.56389,1,0
48,0,2017,0,0,0,0,0,7.5683498,5.6546102,6.9237599,6.8367801,8.8259697,6.81881,1,0
49,0,2017,0,0,0,0,0,7.2023902,6.5390801,6.9060001,6.9078002,8.9048405,6.9871802,1,0
50,0,2017,0,0,0.0067114,0,0,6.62854,4.5629802,7.03023,6.6245899,8.9787102,7.1441698,0,0
51,0,2017,0,0,0,0,0,5.1700802,5.9414201,6.7790499,6.1289001,9.0480499,7.2522802,1,2.0833299
52,0,2017,0,0,0.134228,0.0067114,0,5.9476099,3.43399,6.90237,3.77107,9.1133299,6.6989498,4,0
53,0,2017,0,0,0.281879,0,0,5.6021199,4.1108699,7.2354999,5.5570998,9.1749401,5.3619099,1,0
54,0,2017,0,0,0,0,0,5.7071099,5.7071099,7.31389,6.64329,9.2332401,5.9716501,1,0
55,0,2017,0,0,0,0,0,6.8035102,5.2508898,7.18718,6.1310301,9.2885303,6.3130498,1,0
56,0,2017,0,0,0,0,0,6.8723502,5.6261301,6.8460398,5.1700802,9.3410997,6.90237,1,0
71,0,2017,0,0,0,0.0469799,0,7.9749799,5.7810798,3.43399,5.98037,8.2544899,7.3982801,1,0
72,0,2017,0,0,0,0,0,8.1145802,5.7071099,6.44731,6.4484401,8.3836203,6.9794402,3,0
73,0,2017,0,0,0.0067114,0,0,8.2314396,5.2121201,7.1155801,5.4925199,8.5005198,6.3362002,1,4.1666698
74,0,2017,0,0,0.583893,0,0,8.0789003,3.43399,7.5097899,4.8542099,8.6073799,5.0172801,0,0
75,0,2017,0,0,0.0067114,0,0,7.8773599,5.35186,7.5050402,6.5465598,8.7053499,5.7680202,2,0
76,0,2017,0,0,0,0,0,7.6272101,5.8603802,7.3749599,7.1655998,8.7955503,6.0722799,1,0
77,0,2017,0,0,0,0.0738255,0,7.2945299,5.9716501,7.3678298,7.31568,8.8789797,6.1835999,2,0
78,0,2017,0,0,0,0,0,6.8171902,5.9716501,7.4011402,7.1634402,8.9564695,6.70575,2,0
79,0,2017,0,0,0,0,0,6.0956998,6.3174801,7.29702,6.7294698,9.02876,6.75701,3,0
80,0,2017,0,0,0.0201342,0,0,0,3.77107,7.3443198,5.7810798,9.0964403,6.9345498,2,0
81,0,2017,0,0,0.14094,0,0,5.0910201,0,7.5093799,4.51086,9.1600399,6.4998999,6,0
82,0,2017,0,0,0,0,0,5.6021199,6.29496,7.6501698,6.5029502,9.2200003,6.6092801,2,0
83,0,2017,0,0,0,0,0,5.7071099,5.8301501,7.4762802,6.7151098,9.2767,7.0159302,1,0
84,0,2017,0,0,0,0,0,5.9191098,5.9476099,7.31389,6.5611901,9.3304501,7.2354999,2,0
126,0,2016,0,0.0067114,0,0.0402685,0,3.43399,6.32621,7.1086998,6.23809,9.6182604,7.3935299,2,0
127,0,2016,0,0,0,0,0,3.43399,6.2363701,7.3593302,6.8112102,9.6201696,7.4328499,1,0
128,0,2016,0,0,0,0,0,3.43399,6.0349398,7.4285798,7.1907701,9.6236401,7.37848,2,0
129,0,2016,0,0,0.0201342,0,0,3.43399,4.1108699,7.0468702,7.0899701,9.6286602,6.9149599,1,0
130,0,2016,0,0,0,0,0,0,5.2508898,6.5883799,6.6308999,9.63517,6.0650301,1,0
131,0,2016,0,0,0.0201342,0,0,5.0172801,4.8542099,6.5149598,6.4748302,9.6431103,5.6261301,1,0
132,0,2016,0,0,0,0,0,4.51086,5.6021199,6.7010002,6.5314898,9.6202803,6.7223401,1,4.1666698
133,0,2016,0,0,0.107383,0.0134228,0,0,4.2207098,5.3909101,5.3619099,9.5811996,5.9476099,2,0
134,0,2016,0,0,0,0,0,6.1539502,5.5570998,5.98037,5.8062201,9.5406799,6.0576701,2,0
135,0,2016,0,0,0,0,0,6.9425998,6.3174801,6.8625798,6.6765699,9.4986095,6.8766799,1,0
136,0,2016,0,0,0.0536913,0,0,7.3863201,4.5629802,6.5419002,7.1083999,9.4548798,7.349,1,
137,0,2016,0,0,0,0,0,7.6922102,6.3070898,6.77672,6.4937501,9.40938,7.6723099,1,
138,0,2016,0,0,0.0738255,0,0,7.9295702,4.1108699,6.2432299,4.1108699,9.3619804,7.6792898,2,
139,0,2016,0,0,0,0,0,8.1226196,6.2934198,4.6928701,6.23809,9.3125601,7.5724201,1,
140,0,2016,0,0,0,0,0,8.2844,6.9237599,6.5419002,6.77496,9.2609901,7.5479999,2,
141,0,2016,0,0,0,0,0,8.3078098,6.9289699,5.8888798,6.6409898,9.2070999,7.6179399,1,
142,0,2016,0,0,0,0,0,8.3487797,7.0643001,5.4847999,6.9675899,9.1507797,7.7508898,2,
143,0,2016,0,0,0,0,0,8.4050102,6.6214099,6.7345901,6.75701,9.0918798,7.8467202,2,
144,0,2016,0,0,0.0201342,0,0,8.47157,5.0172801,6.68648,6.6955199,9.0302801,7.8889399,2,
145,0,2016,0,0,0,0,0,8.5441504,6.0426302,6.7877202,6.5390801,8.96593,7.86057,2,
146,0,2016,0,0,0.0067114,0,0,8.6193895,5.1700802,6.3985901,6.0375199,8.8987999,7.6125798,3,
147,0,2017,0,0,0,0,0,7.8233299,6.0375199,3.43399,6.9005499,8.1825399,7.09091,2,2.0833299
