FID,Count,Year,Used,ConBog,MarshGrass,Mixedwood,Opendec,BTrail_D,Edge_D,Road_D,Trail_D,Water_D,Ruggedness,Stream_D
5426,0,2017,0,0,0.0268456,0.033557,0,5.6261301,4.9064898,8.1023502,9.4553499,6.3070898,2,5.3619099
5427,0,2017,0,0,0.0536913,0.0067114,0,5.9945798,4.1108699,8.1142998,9.4425697,6.80406,5,4.2207098
5428,0,2017,0,0.0402685,0.107383,0.134228,0,4.6928701,0,8.1491699,9.4272203,6.7945499,3,0
5429,0,2017,0,0,0.355705,0,0,6.6409898,3.43399,8.2746401,9.3950195,5.1700802,1,6.0001602
5430,0,2017,0,0,0,0,0,7.0656099,5.5503201,8.3374596,9.4033604,6.4109201,1,7.1655998
5431,0,2017,0,0,0.38255,0,0,7.3935299,0,8.3141203,9.3980398,7.0506101,1,4.45263
5432,0,2017,0,0,0.0268456,0.0536913,0,7.4266701,5.1985002,8.3338099,9.3968801,7.1566401,3,5.1700802
5433,0,2017,0,0,0,0,0,7.0274,5.9414201,8.3712397,9.3902903,7.0560002,2,4.8542099
5434,0,2017,0,0.0536913,0,0.114094,0,6.6237998,5.2508898,8.4068098,9.3631496,7.0998802,4,5.2121201
5435,0,2017,0,0,0.0134228,0,0,6.7151098,5.0910201,8.4559498,9.2737598,6.4288602,1,7.1698799
5436,0,2017,0,0,0.114094,0,0,6.8257599,3.43399,8.4431496,9.2676296,6.2632599,1,7.2793398
5437,0,2017,0,0,0.489933,0,0,4.5629802,4.1108699,8.5850697,9.1920099,4.2207098,1,7.3721199
5438,0,2017,0,0,0.127517,0,0,4.7957902,4.7957902,8.5818996,9.1596098,5.5149899,1,7.0915298
5439,0,2017,0,0,0.516779,0,0,5.2631798,3.77107,8.6278296,9.10919,5.1700802,1,6.6613102
5440,0,2017,0,0,0.275168,0,0,4.5629802,0,8.5488901,8.9786596,4.6928701,2,4.5629802
5441,0,2017,0,0,0.0939597,0,0,5.0172801,4.82586,8.4565001,8.8158197,6.7044001,3,5.0367599
5442,0,2017,0,0,0.463087,0,0,5.5570998,3.43399,8.3559904,8.7632198,6.9145198,10,5.0367599
5443,0,2017,0,0,0.208054,0,0,6.4035602,4.6928701,8.3330297,8.6841602,6.2363701,2,5.2631798
5444,0,2017,0,0,0.295302,0.0067114,0,7.50107,3.43399,8.0620098,8.4733105,6.2648902,1,4.82586
5445,0,2017,0,0,0.147651,0.0134228,0,7.5724201,4.1108699,8.1035099,8.3781605,4.7957902,2,5.0910201
5446,0,2017,0,0,0,0,0,7.1693501,5.2631798,7.9421201,8.1877499,6.3948398,0,5.0172801
